pred: fbmj0, true: fadg0, file: sa1, noise: SIGNAL020.wav, level: 0 dB.
pred: mrtj0, true: mjbg0, file: sa2, noise: SIGNAL005.wav, level: 5 dB.
pred: mbar0, true: mjbr0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: mctw0, true: mjbr0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mmeb0, true: mjda0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mdlc0, true: mjda0, file: sa2, noise: SIGNAL014.wav, level: 5 dB.
pred: mjdc0, true: mjdc0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mjdc0, true: mjdc0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mdac0, true: mjde0, file: sa1, noise: SIGNAL003.wav, level: 5 dB.
pred: mgsh0, true: mjde0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: mctw0, true: mjdg0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mcre0, true: mjdg0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mtcs0, true: mjdh0, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: mpmb0, true: mjdh0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mdld0, true: mjdm0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: mtbc0, true: mjdm0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: fsag0, true: mjdm1, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: fspm0, true: mjdm1, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mhxl0, true: mjeb0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: majp0, true: mjeb0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mcmb0, true: mjeb1, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mrcg0, true: mjeb1, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mgag0, true: mjee0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mjrg0, true: mjee0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mdrb0, true: mjes0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mrtj0, true: mjes0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: fbmj0, true: mjfc0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: fgdp0, true: mjfc0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mdac0, true: mjfh0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mwre0, true: mjfh0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mmeb0, true: mjfr0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mkls0, true: mjfr0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mjhi0, true: mjhi0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mctw0, true: mjhi0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mtbc0, true: mjjb0, file: sa1, noise: SIGNAL006.wav, level: 5 dB.
pred: mctw0, true: mjjb0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mjjg0, true: mjjg0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: msrr0, true: mjjg0, file: sa2, noise: SIGNAL017.wav, level: 5 dB.
pred: mjjj0, true: mjjj0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mrtj0, true: mjjj0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mdlh0, true: mjjm0, file: sa1, noise: SIGNAL017.wav, level: 5 dB.
pred: mjjm0, true: mjjm0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mrsp0, true: mjkr0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mjkr0, true: mjkr0, file: sa2, noise: SIGNAL005.wav, level: 5 dB.
pred: mdlc0, true: mjlb0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mbar0, true: mjlb0, file: sa2, noise: SIGNAL010.wav, level: 5 dB.
pred: mctw0, true: mjlg1, file: sa1, noise: SIGNAL004.wav, level: 5 dB.
pred: majp0, true: mjlg1, file: sa2, noise: SIGNAL014.wav, level: 5 dB.
pred: mctw0, true: mjln0, file: sa1, noise: SIGNAL003.wav, level: 5 dB.
pred: mtbc0, true: mjln0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mpmb0, true: mjls0, file: sa1, noise: SIGNAL007.wav, level: 5 dB.
pred: mjls0, true: mjls0, file: sa2, noise: SIGNAL005.wav, level: 5 dB.
pred: mmeb0, true: mjma0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: majp0, true: mjma0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mejs0, true: mjmd0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mtbc0, true: mjmd0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: majp0, true: mjmm0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mrlj0, true: mjmm0, file: sa2, noise: SIGNAL017.wav, level: 5 dB.
pred: mrjo0, true: mjmp0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: mjmp0, true: mjmp0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mjpg0, true: mjpg0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: fsag0, true: mjpg0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mtbc0, true: mjpm0, file: sa1, noise: SIGNAL006.wav, level: 5 dB.
pred: mddc0, true: mjpm0, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mdwh0, true: mjpm1, file: sa1, noise: SIGNAL011.wav, level: 5 dB.
pred: majp0, true: mjpm1, file: sa2, noise: SIGNAL014.wav, level: 5 dB.
pred: mbar0, true: mjra0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: flag0, true: mjra0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mgag0, true: mjrf0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mctw0, true: mjrf0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mjrg0, true: mjrg0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: flag0, true: mjrg0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mbar0, true: mjrh0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: msas0, true: mjrh0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: mctw0, true: mjrh1, file: sa1, noise: SIGNAL003.wav, level: 5 dB.
pred: mjrh1, true: mjrh1, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mjrk0, true: mjrk0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: fsag0, true: mjrk0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: majp0, true: mjrp0, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: mpmb0, true: mjrp0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mjsr0, true: mjsr0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: msmr0, true: mjsr0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mjsw0, true: mjsw0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mjsw0, true: mjsw0, file: sa2, noise: SIGNAL018.wav, level: 5 dB.
pred: mbar0, true: mjtc0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: majp0, true: mjtc0, file: sa2, noise: SIGNAL018.wav, level: 5 dB.
pred: mrcg0, true: mjth0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mbar0, true: mjth0, file: sa2, noise: SIGNAL010.wav, level: 5 dB.
pred: mjvw0, true: mjvw0, file: sa1, noise: SIGNAL002.wav, level: 5 dB.
pred: mtbc0, true: mjvw0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: msjk0, true: mjwg0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mwre0, true: mjwg0, file: sa2, noise: SIGNAL007.wav, level: 5 dB.
pred: mrjh0, true: mjws0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mtbc0, true: mjws0, file: sa2, noise: SIGNAL003.wav, level: 5 dB.
pred: mmeb0, true: mjwt0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mjma0, true: mjwt0, file: sa2, noise: SIGNAL017.wav, level: 5 dB.
pred: majp0, true: mjxa0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: mctw0, true: mjxa0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mctw0, true: mjxl0, file: sa1, noise: SIGNAL003.wav, level: 5 dB.
pred: mpmb0, true: mjxl0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mmbs0, true: mkag0, file: sa1, noise: SIGNAL011.wav, level: 5 dB.
pred: mrjb1, true: mkag0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mwad0, true: mkah0, file: sa1, noise: SIGNAL011.wav, level: 5 dB.
pred: mmeb0, true: mkah0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: mrcz0, true: mkaj0, file: sa1, noise: SIGNAL007.wav, level: 5 dB.
pred: mrml0, true: mkaj0, file: sa2, noise: SIGNAL015.wav, level: 5 dB.
pred: mkam0, true: mkam0, file: sa1, noise: SIGNAL013.wav, level: 5 dB.
pred: mkam0, true: mkam0, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mrml0, true: mkch0, file: sa1, noise: SIGNAL015.wav, level: 5 dB.
pred: majp0, true: mkch0, file: sa2, noise: SIGNAL018.wav, level: 5 dB.
pred: mmdm2, true: mkcl0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: mkcl0, true: mkcl0, file: sa2, noise: SIGNAL019.wav, level: 5 dB.
pred: mcmb0, true: mkdb0, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mkdb0, true: mkdb0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: flkm0, true: mkdd0, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mjjg0, true: mkdd0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mwre0, true: mkdr0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: fbmj0, true: mkdr0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mkdt0, true: mkdt0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mtbc0, true: mkdt0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mrtj0, true: mkes0, file: sa1, noise: SIGNAL013.wav, level: 5 dB.
pred: fgdp0, true: mkes0, file: sa2, noise: SIGNAL007.wav, level: 5 dB.
pred: mtas1, true: mkjl0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: mkjl0, true: mkjl0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: majp0, true: mkjo0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: fsag0, true: mkjo0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mctw0, true: mkln0, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mjjg0, true: mkln0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mctw0, true: mklr0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: fbmj0, true: mklr0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mkls0, true: mkls0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mdld0, true: mkls0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mjjg0, true: mkls1, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: mtbc0, true: mkls1, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: fbmj0, true: mklt0, file: sa1, noise: SIGNAL017.wav, level: 5 dB.
pred: mgmm0, true: mklt0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mdlc0, true: mklw0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: mmeb0, true: mklw0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: mkrg0, true: mkrg0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: mctw0, true: mkrg0, file: sa2, noise: SIGNAL003.wav, level: 5 dB.
pred: mkcl0, true: mkxl0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mctw0, true: mkxl0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mpmb0, true: mlbc0, file: sa1, noise: SIGNAL013.wav, level: 5 dB.
pred: mrkm0, true: mlbc0, file: sa2, noise: SIGNAL011.wav, level: 5 dB.
pred: mlel0, true: mlel0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: mzmb0, true: mlel0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: fjem0, true: mlih0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mlih0, true: mlih0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mtdt0, true: mljb0, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: mmbs0, true: mljb0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: mmeb0, true: mljc0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mtbc0, true: mljc0, file: sa2, noise: SIGNAL014.wav, level: 5 dB.
pred: mjbg0, true: mljh0, file: sa1, noise: SIGNAL017.wav, level: 5 dB.
pred: mtbc0, true: mljh0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mlll0, true: mlll0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: fbjl0, true: mlll0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mjmm0, true: mlns0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mlns0, true: mlns0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mlnt0, true: mlnt0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mdem0, true: mlnt0, file: sa2, noise: SIGNAL019.wav, level: 5 dB.
pred: mzmb0, true: mlsh0, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: majp0, true: mlsh0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mmaa0, true: mmaa0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: fcdr1, true: mmaa0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mtdb0, true: mmab0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: fbmj0, true: mmab0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mdrb0, true: mmab1, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mpmb0, true: mmab1, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mcmb0, true: mmag0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mctw0, true: mmag0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: mctw0, true: mmam0, file: sa1, noise: SIGNAL002.wav, level: 5 dB.
pred: mjvw0, true: mmam0, file: sa2, noise: SIGNAL003.wav, level: 5 dB.
pred: mrcz0, true: mmar0, file: sa1, noise: SIGNAL007.wav, level: 5 dB.
pred: fbmj0, true: mmar0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mmbs0, true: mmbs0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mrds0, true: mmbs0, file: sa2, noise: SIGNAL017.wav, level: 5 dB.
pred: mgmm0, true: mmcc0, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: mkrg0, true: mmcc0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: fbmj0, true: mmdb0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mmdb0, true: mmdb0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mctw0, true: mmdb1, file: sa1, noise: SIGNAL006.wav, level: 5 dB.
pred: mmeb0, true: mmdb1, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: mmdg0, true: mmdg0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mrko0, true: mmdg0, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mhit0, true: mmdh0, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: mpmb0, true: mmdh0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mrml0, true: mmdm0, file: sa1, noise: SIGNAL015.wav, level: 5 dB.
pred: mmdm0, true: mmdm0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mdrb0, true: mmdm1, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mejs0, true: mmdm1, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: majp0, true: mmdm2, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: mrem0, true: mmdm2, file: sa2, noise: SIGNAL005.wav, level: 5 dB.
pred: mmeb0, true: mmds0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mgag0, true: mmds0, file: sa2, noise: SIGNAL020.wav, level: 5 dB.
pred: mhmg0, true: mmea0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mctw0, true: mmea0, file: sa2, noise: SIGNAL003.wav, level: 5 dB.
pred: mctw0, true: mmeb0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mctw0, true: mmeb0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mrml0, true: mmgc0, file: sa1, noise: SIGNAL015.wav, level: 5 dB.
pred: mjma0, true: mmgc0, file: sa2, noise: SIGNAL017.wav, level: 5 dB.
pred: fceg0, true: mmgg0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: mctw0, true: mmgg0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: flag0, true: mmgk0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: majp0, true: mmgk0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: fbmj0, true: mmjb1, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mmjb1, true: mmjb1, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: mtls0, true: mmjr0, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mtbc0, true: mmjr0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mbar0, true: mmlm0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: mctw0, true: mmlm0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mctw0, true: mmpm0, file: sa1, noise: SIGNAL004.wav, level: 5 dB.
pred: mctw0, true: mmpm0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mmeb0, true: mmrp0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mmrp0, true: mmrp0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: mctw0, true: mmsm0, file: sa1, noise: SIGNAL004.wav, level: 5 dB.
pred: mdlr1, true: mmsm0, file: sa2, noise: SIGNAL018.wav, level: 5 dB.
pred: mctw0, true: mmvp0, file: sa1, noise: SIGNAL004.wav, level: 5 dB.
pred: mctw0, true: mmvp0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mpmb0, true: mmwb0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mpmb0, true: mmwb0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mrcz0, true: mmwh0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: mbar0, true: mmwh0, file: sa2, noise: SIGNAL010.wav, level: 5 dB.
pred: mdrb0, true: mmws0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: mctw0, true: mmws0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mctw0, true: mmws1, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mejs0, true: mmws1, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mctw0, true: mmxs0, file: sa1, noise: SIGNAL006.wav, level: 5 dB.
pred: mctw0, true: mmxs0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: fbmj0, true: mnet0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: mctw0, true: mnet0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mnjm0, true: mnjm0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: mcmb0, true: mnjm0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mdlc0, true: mnls0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mtbc0, true: mnls0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mtbc0, true: mntw0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: mntw0, true: mntw0, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mrml0, true: mpab0, file: sa1, noise: SIGNAL015.wav, level: 5 dB.
pred: mctw0, true: mpab0, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
pred: fjdm2, true: mpam0, file: sa1, noise: SIGNAL022.wav, level: 5 dB.
pred: fjdm2, true: mpam0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mpam1, true: mpam1, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: fhes0, true: mpam1, file: sa2, noise: SIGNAL007.wav, level: 5 dB.
pred: mmeb0, true: mpar0, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: majp0, true: mpar0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mrml0, true: mpcs0, file: sa1, noise: SIGNAL015.wav, level: 5 dB.
pred: majp0, true: mpcs0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mdwm0, true: mpdf0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mlnt0, true: mpdf0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mbar0, true: mpeb0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: majp0, true: mpeb0, file: sa2, noise: SIGNAL009.wav, level: 5 dB.
pred: fmem0, true: mpfu0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: fhes0, true: mpfu0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mpgh0, true: mpgh0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: mrjh0, true: mpgh0, file: sa2, noise: SIGNAL007.wav, level: 5 dB.
pred: mtbc0, true: mpgl0, file: sa1, noise: SIGNAL004.wav, level: 5 dB.
pred: mpmb0, true: mpgl0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mjvw0, true: mpgr0, file: sa1, noise: SIGNAL019.wav, level: 5 dB.
pred: majp0, true: mpgr0, file: sa2, noise: SIGNAL019.wav, level: 5 dB.
pred: mbns0, true: mpgr1, file: sa1, noise: SIGNAL008.wav, level: 5 dB.
pred: mrkm0, true: mpgr1, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mplb0, true: mplb0, file: sa1, noise: SIGNAL001.wav, level: 5 dB.
pred: mrjb1, true: mplb0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mpmb0, true: mpmb0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: mctw0, true: mpmb0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: majp0, true: mppc0, file: sa1, noise: SIGNAL018.wav, level: 5 dB.
pred: mpmb0, true: mppc0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: fsag0, true: mprb0, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: mprb0, true: mprb0, file: sa2, noise: SIGNAL016.wav, level: 5 dB.
pred: fsag0, true: mprd0, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: mrtj0, true: mprd0, file: sa2, noise: SIGNAL021.wav, level: 5 dB.
pred: mprk0, true: mprk0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: mdld0, true: mprk0, file: sa2, noise: SIGNAL023.wav, level: 5 dB.
pred: mbar0, true: mprt0, file: sa1, noise: SIGNAL013.wav, level: 5 dB.
pred: mmeb0, true: mprt0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: fsag0, true: mpsw0, file: sa1, noise: SIGNAL012.wav, level: 5 dB.
pred: mrlj0, true: mpsw0, file: sa2, noise: SIGNAL014.wav, level: 5 dB.
pred: mpwm0, true: mpwm0, file: sa1, noise: SIGNAL016.wav, level: 5 dB.
pred: fsag0, true: mpwm0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mpmb0, true: mrab0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: fpac0, true: mrab0, file: sa2, noise: SIGNAL011.wav, level: 5 dB.
pred: mctw0, true: mrab1, file: sa1, noise: SIGNAL021.wav, level: 5 dB.
pred: mtbc0, true: mrab1, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mtaa0, true: mrai0, file: sa1, noise: SIGNAL002.wav, level: 5 dB.
pred: mcre0, true: mrai0, file: sa2, noise: SIGNAL024.wav, level: 5 dB.
pred: mram0, true: mram0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: majp0, true: mram0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: mjvw0, true: mrav0, file: sa1, noise: SIGNAL003.wav, level: 5 dB.
pred: mlih0, true: mrav0, file: sa2, noise: SIGNAL003.wav, level: 5 dB.
pred: fbmj0, true: mrbc0, file: sa1, noise: SIGNAL020.wav, level: 5 dB.
pred: majp0, true: mrbc0, file: sa2, noise: SIGNAL019.wav, level: 5 dB.
pred: fpac0, true: mrcg0, file: sa1, noise: SIGNAL011.wav, level: 5 dB.
pred: mmeb0, true: mrcg0, file: sa2, noise: SIGNAL008.wav, level: 5 dB.
pred: msrr0, true: mrcs0, file: sa1, noise: SIGNAL017.wav, level: 5 dB.
pred: majp0, true: mrcs0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: msjk0, true: mrcw0, file: sa1, noise: SIGNAL024.wav, level: 5 dB.
pred: mrcw0, true: mrcw0, file: sa2, noise: SIGNAL001.wav, level: 5 dB.
pred: mpmb0, true: mrcz0, file: sa1, noise: SIGNAL023.wav, level: 5 dB.
pred: majp0, true: mrcz0, file: sa2, noise: SIGNAL022.wav, level: 5 dB.
pred: mbar0, true: mrdd0, file: sa1, noise: SIGNAL009.wav, level: 5 dB.
pred: mtbc0, true: mrdd0, file: sa2, noise: SIGNAL006.wav, level: 5 dB.
pred: mbar0, true: mrdm0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: fsag0, true: mrdm0, file: sa2, noise: SIGNAL012.wav, level: 5 dB.
pred: mdrb0, true: mrds0, file: sa1, noise: SIGNAL014.wav, level: 5 dB.
pred: majp0, true: mrds0, file: sa2, noise: SIGNAL019.wav, level: 5 dB.
pred: mtkd0, true: mreb0, file: sa1, noise: SIGNAL005.wav, level: 5 dB.
pred: mbar0, true: mreb0, file: sa2, noise: SIGNAL013.wav, level: 5 dB.
pred: mbar0, true: mree0, file: sa1, noise: SIGNAL010.wav, level: 5 dB.
pred: mtbc0, true: mree0, file: sa2, noise: SIGNAL004.wav, level: 5 dB.
pred: mpmb0, true: mreh1, file: sa1, noise: SIGNAL013.wav, level: 5 dB.
pred: mctw0, true: mreh1, file: sa2, noise: SIGNAL002.wav, level: 5 dB.
